note_id,title,word_count,line_count,section_count,max_heading_depth,list_item_count,code_block_count,code_block_line_count,image_count,table_count,quote_block_count,frontmatter_present,frontmatter_field_count,tag_count,has_code,has_images,has_table,has_quotes,has_lists,has_frontmatter,is_empty,has_math,outlink_count,inlink_count,total_degree,is_orphan
1-on-1_template,1-on-1 Template,85,12,0,0,4,0,0,0,0,0,False,0,0,False,False,False,False,True,False,False,False,0,1,1,False
ab_testing,AB testing,16,1,0,0,0,0,0,0,0,0,False,0,0,False,False,False,False,False,False,False,False,0,0,0,True
accessing_gen_ai_generated_content,Accessing Gen AI generated content,272,11,1,3,0,0,0,0,0,0,True,5,2,False,False,False,False,False,True,False,False,5,0,5,True
accuracy,Accuracy,289,23,5,3,8,1,5,0,0,0,True,1,1,True,False,False,False,True,True,False,True,3,10,13,False
acid_transaction,ACID Transaction,170,6,1,3,0,0,0,0,0,0,True,2,2,False,False,False,False,False,True,False,False,1,3,4,False
activation_atlases,Activation atlases,19,2,0,0,0,0,0,0,0,0,True,1,0,False,False,False,False,False,True,False,False,0,1,1,False
activation_function,Activation Function,378,23,2,3,0,0,0,0,0,0,True,1,1,False,False,False,False,False,True,False,True,6,3,9,False
active_learning,Active Learning,22,3,0,0,0,0,0,0,0,0,True,2,1,False,False,False,False,False,True,False,False,1,0,1,True
ada_boosting,Ada boosting,446,25,7,3,7,0,0,0,0,0,True,1,1,False,False,False,False,True,True,False,False,3,1,4,False
adam_optimizer,Adam Optimizer,270,17,2,4,3,0,0,0,0,0,True,6,0,False,False,False,False,True,True,False,True,6,5,11,False
adaptive_learning_rates,Adaptive Learning Rates,44,2,0,0,0,0,0,0,0,0,False,0,0,False,False,False,False,False,False,False,False,3,1,4,False
adding_a_database_to_postgresql,Adding a database to PostgreSQL,123,31,6,3,0,2,22,0,0,0,False,0,0,True,False,False,False,False,False,False,False,0,1,1,False
addressing_multicollinearity,Addressing Multicollinearity,249,19,3,3,0,1,13,0,0,0,False,0,0,True,False,False,False,False,False,False,False,7,1,8,False
addressing_multicollinearity.py,Addressing_Multicollinearity.py,1,1,0,0,0,0,0,0,0,0,False,0,0,False,False,False,False,False,False,True,False,0,1,1,False
adjusted_r_squared,Adjusted R squared,266,16,0,0,0,0,0,0,0,0,True,1,2,False,False,False,False,False,True,False,True,3,4,7,False
agent-based_modelling,Agent-Based Modelling,668,57,11,3,7,0,0,0,0,0,True,4,1,False,False,False,False,True,True,False,False,7,5,12,False
agentic_solutions,Agentic Solutions,257,37,7,3,6,0,0,0,0,0,True,3,1,False,False,False,False,True,True,False,False,4,3,7,False
aggregation,Aggregation,17,5,0,0,0,0,0,0,0,0,False,0,0,False,False,False,False,False,False,False,False,3,2,5,False
ai_agents_memory,AI Agents Memory,533,60,8,6,41,0,0,0,0,0,True,2,0,False,False,False,False,True,True,False,False,2,0,2,True
ai_engineer,AI Engineer,15,5,0,0,4,0,0,0,0,0,True,2,0,False,False,False,False,True,True,False,False,4,0,4,True
ai_governance,AI governance,52,14,0,0,7,0,0,0,0,0,False,0,0,False,False,False,False,True,False,False,False,1,0,1,True
algorithms,Algorithms,345,30,8,3,6,0,0,0,0,0,True,6,0,False,False,False,False,True,True,False,False,3,3,6,False
altair_versus_seaborn,altair versus seaborn,347,46,7,3,8,2,19,0,28,0,True,2,1,True,False,True,False,True,True,False,False,1,0,1,True
altair,Altair,320,51,9,3,19,2,15,0,0,0,True,2,1,True,False,False,False,True,True,False,False,5,1,6,False
alternatives_to_batch_processing,Alternatives to Batch Processing,211,9,1,3,0,0,0,0,0,0,False,0,0,False,False,False,False,False,False,False,False,7,1,8,False
amazon_s3,Amazon S3,301,19,2,2,0,0,0,0,0,0,True,1,0,False,False,False,False,False,True,False,False,0,3,3,False
anomaly_detection_in_time_series,Anomaly Detection in Time Series,208,18,0,0,1,0,0,0,0,0,False,0,0,False,False,False,False,True,False,False,False,5,1,6,False
